method;pollution;param;kr;sr
sca_hw;gauss;48;1.32;0.87
sca_hw;gauss;50;2.66;0.71
sca_hw;gauss;52;2.05;0.75
sca_hw;gauss;54;6.43;0.51
sca_hw;gauss;56;8.27;0.5
sca_hw;gauss;58;6.86;0.42
sca_hw;gauss;60;12.56;0.39
sca_hw;gauss;62;12.52;0.34
sca_hw;gauss;64;9.57;0.42
sca_hw;gauss;66;17.53;0.21
sca_hw;gauss;68;23.89;0.25
sca_hw;gauss;70;16.62;0.29
sca_hw;gauss;72;18.54;0.21
sca_hw;gauss;74;22.66;0.26
sca_hw;gauss;76;28.54;0.12
sca_hw;gauss;78;30.46;0.11
sca_hw;gauss;80;37.19;0.18
sca_hw;gauss;82;41.41;0.12
sca_hw;gauss;84;31.59;0.16
sca_hw;gauss;86;38.44;0.15
sca_hw;gauss;88;58.82;0.09
sca_hw;gauss;90;51.41;0.03
sca_hw;gauss;92;49.46;0.09
sca_hw;gauss;94;65.82;0.05
sca_hw;gauss;96;58.14;0.07
sca_hw;gauss;98;55.23;0.04
sca_hw;gauss;100;52.29;0.07
sca_hw;desync;0;1.0;1.0
sca_hw;desync;5;1.0;1.0
sca_hw;desync;10;1.0;1.0
sca_hw;desync;15;1.0;1.0
sca_hw;desync;20;1.0;1.0
sca_hw;desync;25;1.0;1.0
sca_hw;desync;30;1.0;1.0
sca_hw;desync;35;1.0;1.0
sca_hw;desync;40;1.0;1.0
sca_hw;desync;45;1.0;1.0
sca_hw;desync;50;1.0;1.0
sca_hw;desync;55;1.0;1.0
sca_hw;desync;60;1.0;1.0
sca_hw;desync;65;1.0;1.0
sca_hw;desync;70;1.0;1.0
sca_hw;desync;75;1.0;1.0
sca_hw;desync;80;1.0;1.0
sca_hw;desync;85;1.01;0.99
sca_hw;desync;90;1.0;1.0
sca_hw;desync;95;1.0;1.0
sca_hw;desync;100;80.68;0.01
sca_hw;desync;105;15.33;0.37
sca_hw;desync;110;102.78;0.0
sca_hw;desync;115;60.73;0.06
sca_hw;desync;120;137.22;0.0
sca_hw;desync;125;130.47;0.0
sca_hw;desync;130;108.93;0.01
sca_hw;desync;135;133.96;0.02
sca_hw;desync;140;131.81;0.0
sca_hw;desync;145;132.84;0.0
sca_hw;desync;150;148.59;0.0
sca_hw;desync;155;142.81;0.0
sca_hw;desync;160;136.24;0.0
sca_hw;desync;165;126.64;0.0
sca_hw;desync;170;135.17;0.0
sca_hw;desync;175;140.98;0.0
sca_hw;desync;180;119.82;0.0
sca_hw;desync;185;145.62;0.0
sca_hw;desync;190;125.39;0.02
sca_hw;desync;195;139.91;0.01
sca_hw;desync;200;140.15;0.0
sca_hw;gauss;0;1.0;1.0
sca_hw;gauss;2;1.0;1.0
sca_hw;gauss;4;1.0;1.0
sca_hw;gauss;6;1.0;1.0
sca_hw;gauss;8;1.0;1.0
sca_hw;gauss;10;1.0;1.0
sca_hw;gauss;12;1.0;1.0
sca_hw;gauss;14;1.0;1.0
sca_hw;gauss;16;1.0;1.0
sca_hw;gauss;18;1.0;1.0
sca_hw;gauss;20;1.0;1.0
sca_hw;gauss;22;1.0;1.0
sca_hw;gauss;24;1.0;1.0
sca_hw;gauss;26;1.0;1.0
sca_hw;gauss;28;1.0;1.0
sca_hw;gauss;30;1.0;1.0
sca_hw;gauss;32;1.0;1.0
sca_hw;gauss;34;1.0;1.0
sca_hw;gauss;36;1.0;1.0
sca_hw;gauss;38;1.0;1.0
sca_hw;gauss;40;1.01;0.99
sca_hw;gauss;42;1.06;0.96
sca_hw;gauss;44;1.29;0.89
sca_hw;gauss;46;2.31;0.82
sca_hw;gauss;48;1.75;0.9
sca_hw;gauss;50;2.68;0.73
sca_hw;gauss;52;4.25;0.64
sca_hw;gauss;54;5.11;0.57
sca_hw;gauss;56;4.91;0.6
sca_hw;gauss;58;5.27;0.58
sca_hw;gauss;60;18.74;0.29
sca_hw;gauss;62;20.48;0.29
sca_hw;gauss;64;12.7;0.28
sca_hw;gauss;66;13.87;0.31
sca_hw;gauss;68;19.38;0.4
sca_hw;gauss;70;22.84;0.2
sca_hw;gauss;72;15.65;0.27
sca_hw;gauss;74;27.98;0.16
sca_hw;gauss;76;23.51;0.13
sca_hw;gauss;78;43.08;0.1
sca_hw;gauss;80;37.02;0.07
sca_hw;gauss;82;36.13;0.12
sca_hw;gauss;84;25.62;0.19
sca_hw;gauss;86;47.66;0.05
sca_hw;gauss;88;59.46;0.05
sca_hw;gauss;90;53.74;0.05
sca_hw;gauss;92;49.39;0.05
sca_hw;gauss;94;46.7;0.07
sca_hw;gauss;96;62.2;0.05
sca_hw;gauss;98;47.35;0.04
sca_hw;gauss;100;59.52;0.09
sca_hw;desync;0;1.0;1.0
sca_hw;desync;5;1.0;1.0
sca_hw;desync;10;1.0;1.0
sca_hw;desync;15;1.0;1.0
sca_hw;desync;20;1.0;1.0
sca_hw;desync;25;1.0;1.0
sca_hw;desync;30;1.0;1.0
sca_hw;desync;35;1.0;1.0
sca_hw;desync;40;1.0;1.0
sca_hw;desync;45;1.0;1.0
sca_hw;desync;50;1.0;1.0
sca_hw;desync;55;1.0;1.0
sca_hw;desync;60;1.0;1.0
sca_hw;desync;65;1.0;1.0
sca_hw;desync;70;1.0;1.0
sca_hw;desync;75;1.0;1.0
sca_hw;desync;80;1.0;1.0
sca_hw;desync;85;1.0;1.0
sca_hw;desync;90;1.0;1.0
sca_hw;desync;95;46.97;0.09
sca_hw;desync;100;59.82;0.04
sca_hw;desync;105;119.36;0.0
sca_hw;desync;110;3.19;0.67
sca_hw;desync;115;1.01;0.99
sca_hw;desync;120;110.15;0.0
sca_hw;desync;125;119.6;0.0
sca_hw;desync;130;96.33;0.02
sca_hw;desync;135;68.43;0.03
sca_hw;desync;140;130.73;0.0
sca_hw;desync;145;139.2;0.01
sca_hw;desync;150;120.53;0.0
sca_hw;desync;155;115.69;0.0
sca_hw;desync;160;137.61;0.01
sca_hw;desync;165;123.59;0.0
sca_hw;desync;170;138.44;0.0
sca_hw;desync;175;132.84;0.0
sca_hw;desync;180;125.77;0.0
sca_hw;desync;185;131.55;0.0
sca_hw;desync;190;128.61;0.0
sca_hw;desync;195;140.32;0.0
sca_hw;desync;200;145.54;0.0
sca_hw;gauss;0;1.0;1.0
sca_hw;gauss;2;1.0;1.0
sca_hw;gauss;4;1.0;1.0
sca_hw;gauss;6;1.0;1.0
sca_hw;gauss;8;1.0;1.0
sca_hw;gauss;10;1.0;1.0
sca_hw;gauss;12;1.0;1.0
sca_hw;gauss;14;1.0;1.0
sca_hw;gauss;16;1.0;1.0
sca_hw;gauss;18;1.0;1.0
sca_hw;gauss;20;1.0;1.0
sca_hw;gauss;22;1.0;1.0
sca_hw;gauss;24;1.0;1.0
sca_hw;gauss;26;1.0;1.0
sca_hw;gauss;28;1.0;1.0
sca_hw;gauss;30;1.0;1.0
sca_hw;gauss;32;1.0;1.0
sca_hw;gauss;34;1.01;0.99
sca_hw;gauss;36;1.0;1.0
sca_hw;gauss;38;1.0;1.0
sca_hw;gauss;40;1.0;1.0
sca_hw;gauss;42;1.06;0.95
sca_hw;gauss;44;1.29;0.91
sca_hw;gauss;46;1.38;0.92
sca_hw;gauss;48;1.5;0.9
sca_hw;gauss;50;3.06;0.69
sca_hw;gauss;52;5.28;0.54
sca_hw;gauss;54;4.88;0.64
sca_hw;gauss;56;2.8;0.75
sca_hw;gauss;58;4.78;0.47
sca_hw;gauss;60;12.66;0.32
sca_hw;gauss;62;12.98;0.31
sca_hw;gauss;64;15.19;0.31
sca_hw;gauss;66;21.17;0.12
sca_hw;gauss;68;13.83;0.32
sca_hw;gauss;70;22.59;0.15
sca_hw;gauss;72;23.93;0.19
sca_hw;gauss;74;27.61;0.11
sca_hw;gauss;76;40.62;0.17
sca_hw;gauss;78;29.66;0.15
sca_hw;gauss;80;38.83;0.11
sca_hw;gauss;82;39.94;0.08
sca_hw;gauss;84;40.95;0.07
sca_hw;gauss;86;34.18;0.12
sca_hw;gauss;88;35.14;0.07
sca_hw;gauss;90;53.98;0.06
sca_hw;gauss;92;55.29;0.06
sca_hw;gauss;94;64.01;0.02
sca_hw;gauss;96;45.93;0.08
sca_hw;gauss;98;71.05;0.06
sca_hw;gauss;100;67.27;0.03
sca_hw;desync;0;1.0;1.0
sca_hw;desync;5;1.0;1.0
sca_hw;desync;10;1.0;1.0
sca_hw;desync;15;1.0;1.0
sca_hw;desync;20;1.0;1.0
sca_hw;desync;25;1.0;1.0
sca_hw;desync;30;1.0;1.0
sca_hw;desync;35;1.0;1.0
sca_hw;desync;40;1.0;1.0
sca_hw;desync;45;1.0;1.0
sca_hw;desync;50;1.0;1.0
sca_hw;desync;55;1.0;1.0
sca_hw;desync;60;1.0;1.0
sca_hw;desync;65;1.0;1.0
sca_hw;desync;70;1.0;1.0
sca_hw;desync;75;1.0;1.0
sca_hw;desync;80;1.0;1.0
sca_hw;desync;85;1.0;1.0
sca_hw;desync;90;1.01;0.99
sca_hw;desync;95;1.04;0.99
sca_hw;desync;100;69.46;0.03
sca_hw;desync;105;1.67;0.84
sca_hw;desync;110;33.08;0.11
sca_hw;desync;115;102.04;0.02
sca_hw;desync;120;131.55;0.0
sca_hw;desync;125;85.28;0.02
sca_hw;desync;130;116.03;0.01
sca_hw;desync;135;34.59;0.13
sca_hw;desync;140;119.53;0.01
sca_hw;desync;145;111.04;0.01
sca_hw;desync;150;124.64;0.0
sca_hw;desync;155;130.99;0.02
sca_hw;desync;160;128.91;0.0
sca_hw;desync;165;134.26;0.0
sca_hw;desync;170;129.67;0.01
sca_hw;desync;175;144.8;0.0
sca_hw;desync;180;118.51;0.01
sca_hw;desync;185;138.09;0.01
sca_hw;desync;190;138.2;0.0
sca_hw;desync;195;117.78;0.0
sca_hw;desync;200;128.25;0.0
sca_hw;gauss;0;1.0;1.0
sca_hw;gauss;2;1.0;1.0
sca_hw;gauss;4;1.0;1.0
sca_hw;gauss;6;1.0;1.0
sca_hw;gauss;8;1.0;1.0
sca_hw;gauss;10;1.0;1.0
sca_hw;gauss;12;1.0;1.0
sca_hw;gauss;14;1.0;1.0
sca_hw;gauss;16;1.0;1.0
sca_hw;gauss;18;1.0;1.0
sca_hw;gauss;20;1.0;1.0
sca_hw;gauss;22;1.0;1.0
sca_hw;gauss;24;1.0;1.0
sca_hw;gauss;26;1.0;1.0
sca_hw;gauss;28;1.0;1.0
sca_hw;gauss;30;1.0;1.0
sca_hw;gauss;32;1.0;1.0
sca_hw;gauss;34;1.0;1.0
sca_hw;gauss;36;1.0;1.0
sca_hw;gauss;38;1.01;0.99
sca_hw;gauss;40;1.03;0.97
sca_hw;gauss;42;1.12;0.93
sca_hw;gauss;44;1.11;0.94
sca_hw;gauss;46;1.7;0.8
sca_hw;gauss;48;2.92;0.76
sca_hw;gauss;50;1.38;0.86
sca_hw;gauss;52;3.62;0.73
sca_hw;gauss;54;4.03;0.57
sca_hw;gauss;56;7.79;0.44
sca_hw;gauss;58;5.42;0.55
sca_hw;gauss;60;6.93;0.42
sca_hw;gauss;62;12.43;0.36
sca_hw;gauss;64;7.19;0.49
sca_hw;gauss;66;11.58;0.36
sca_hw;gauss;68;13.69;0.35
sca_hw;gauss;70;17.05;0.26
sca_hw;gauss;72;36.17;0.1
sca_hw;gauss;74;18.8;0.18
sca_hw;gauss;76;21.34;0.15
sca_hw;gauss;78;29.37;0.14
sca_hw;gauss;80;41.56;0.06
sca_hw;gauss;82;32.81;0.06
sca_hw;gauss;84;35.06;0.1
sca_hw;gauss;86;44.15;0.13
sca_hw;gauss;88;46.58;0.08
sca_hw;gauss;90;50.53;0.08
sca_hw;gauss;92;39.44;0.09
sca_hw;gauss;94;62.39;0.02
sca_hw;gauss;96;57.83;0.07
sca_hw;gauss;98;58.13;0.08
sca_hw;gauss;100;77.36;0.03
sca_hw;desync;0;1.0;1.0
sca_hw;desync;5;1.0;1.0
sca_hw;desync;10;1.0;1.0
sca_hw;desync;15;1.0;1.0
sca_hw;desync;20;1.0;1.0
sca_hw;desync;25;1.0;1.0
sca_hw;desync;30;1.0;1.0
sca_hw;desync;35;1.0;1.0
sca_hw;desync;40;1.0;1.0
sca_hw;desync;45;1.0;1.0
sca_hw;desync;50;1.0;1.0
sca_hw;desync;55;1.0;1.0
sca_hw;desync;60;1.0;1.0
sca_hw;desync;65;1.0;1.0
sca_hw;desync;70;1.0;1.0
sca_hw;desync;75;1.0;1.0
sca_hw;desync;80;1.0;1.0
sca_hw;desync;85;1.05;0.96
sca_hw;desync;90;1.62;0.79
sca_hw;desync;95;1.0;1.0
sca_hw;desync;100;1.0;1.0
sca_hw;desync;105;1.23;0.87
sca_hw;desync;110;1.08;0.96
sca_hw;desync;115;115.22;0.0
sca_hw;desync;120;1.09;0.93
sca_hw;desync;125;129.35;0.0
sca_hw;desync;130;121.92;0.02
sca_hw;desync;135;105.33;0.0
sca_hw;desync;140;126.38;0.01
sca_hw;desync;145;114.55;0.01
sca_hw;desync;150;102.26;0.02
sca_hw;desync;155;126.73;0.01
sca_hw;desync;160;126.93;0.0
sca_hw;desync;165;120.33;0.0
sca_hw;desync;170;135.57;0.01
sca_hw;desync;175;130.78;0.0
sca_hw;desync;180;141.04;0.0
sca_hw;desync;185;131.8;0.0
sca_hw;desync;190;133.91;0.0
sca_hw;desync;0;1.0;1.0
sca_hw;desync;5;1.0;1.0
sca_hw;desync;10;1.0;1.0
sca_hw;desync;15;1.0;1.0
sca_hw;desync;20;1.0;1.0
sca_hw;desync;25;1.0;1.0
sca_hw;desync;30;1.0;1.0
sca_hw;desync;35;1.0;1.0
sca_hw;desync;40;1.0;1.0
sca_hw;desync;45;1.0;1.0
sca_hw;desync;50;1.0;1.0
sca_hw;desync;55;1.0;1.0
sca_hw;desync;60;1.0;1.0
sca_hw;desync;65;1.0;1.0
sca_hw;desync;70;1.0;1.0
sca_hw;desync;75;1.0;1.0
sca_hw;desync;80;1.0;1.0
sca_hw;desync;85;1.0;1.0
sca_hw;desync;90;1.0;1.0
sca_hw;desync;95;1.0;1.0
sca_hw;desync;100;69.16;0.03
sca_hw;desync;105;2.82;0.64
sca_hw;desync;110;127.45;0.0
sca_hw;desync;115;6.25;0.45
sca_hw;desync;120;123.11;0.02
sca_hw;desync;125;124.94;0.0
sca_hw;desync;130;126.75;0.01
sca_hw;desync;135;126.69;0.0
sca_hw;desync;140;124.53;0.0
sca_hw;desync;145;119.13;0.0
sca_hw;desync;150;90.11;0.03
sca_hw;desync;155;108.59;0.01
sca_hw;desync;160;119.61;0.0
sca_hw;desync;165;117.9;0.01
sca_hw;desync;170;128.17;0.0
sca_hw;desync;175;131.23;0.0
sca_hw;desync;180;129.94;0.0
sca_hw;desync;185;139.05;0.0
sca_hw;desync;190;123.07;0.01
sca_hw;desync;195;128.34;0.0
sca_hw;desync;200;135.56;0.0
sca_hw;gauss;0;1.0;1.0
sca_hw;gauss;5;1.0;1.0
sca_hw;gauss;10;1.0;1.0
sca_hw;gauss;15;1.0;1.0
sca_hw;gauss;20;1.0;1.0
sca_hw;gauss;25;1.0;1.0
sca_hw;gauss;30;1.0;1.0
sca_hw;gauss;35;1.0;1.0
sca_hw;gauss;40;1.0;1.0
sca_hw;gauss;45;1.27;0.93
sca_hw;gauss;50;1.7;0.69
sca_hw;gauss;55;3.59;0.66
sca_hw;gauss;60;5.18;0.56
sca_hw;gauss;65;17.44;0.22
sca_hw;gauss;70;23.37;0.22
sca_hw;gauss;75;26.15;0.16
sca_hw;gauss;80;25.71;0.14
sca_hw;gauss;85;46.25;0.08
sca_hw;gauss;90;50.26;0.08
sca_hw;gauss;95;76.21;0.03
sca_hw;gauss;100;77.22;0.03
sca_hw;gauss;105;63.21;0.02
sca_hw;gauss;110;88.03;0.0
sca_hw;gauss;115;109.29;0.01
sca_hw;gauss;120;84.84;0.03
sca_hw;gauss;125;87.05;0.0
sca_hw;gauss;130;88.27;0.03
sca_hw;gauss;135;95.14;0.01
sca_hw;gauss;140;104.09;0.01
sca_hw;gauss;145;80.22;0.02
sca_hw;gauss;150;107.75;0.02
sca_hw;gauss;155;103.87;0.01
sca_hw;gauss;160;110.18;0.0
sca_hw;gauss;165;101.15;0.01
sca_hw;gauss;170;109.41;0.0
sca_hw;gauss;175;124.13;0.02
sca_hw;gauss;180;121.13;0.0
sca_hw;gauss;185;103.28;0.0
sca_hw;gauss;190;116.53;0.0
sca_hw;gauss;195;123.68;0.0
sca_hw;gauss;200;120.75;0.0
sca_hw;desync;0;1.0;1.0
sca_hw;desync;5;1.0;1.0
sca_hw;desync;10;1.0;1.0
sca_hw;desync;15;1.0;1.0
sca_hw;desync;20;1.0;1.0
sca_hw;desync;25;1.0;1.0
sca_hw;desync;30;1.0;1.0
sca_hw;desync;35;1.0;1.0
sca_hw;desync;40;1.0;1.0
sca_hw;desync;45;1.0;1.0
sca_hw;desync;50;1.0;1.0
sca_hw;desync;55;1.0;1.0
sca_hw;desync;60;1.0;1.0
sca_hw;desync;65;1.0;1.0
sca_hw;desync;70;1.0;1.0
sca_hw;desync;75;1.0;1.0
sca_hw;desync;80;1.0;1.0
sca_hw;desync;85;2.11;0.81
sca_hw;desync;90;1.0;1.0
sca_hw;desync;95;1.0;1.0
sca_hw;desync;100;2.2;0.78
sca_hw;desync;105;121.5;0.01
sca_hw;desync;110;12.59;0.26
sca_hw;desync;115;27.41;0.19
sca_hw;desync;120;124.0;0.0
sca_hw;desync;125;116.31;0.02
sca_hw;desync;130;115.37;0.0
sca_hw;desync;135;123.4;0.0
sca_hw;desync;140;105.75;0.0
sca_hw;desync;145;47.09;0.11
sca_hw;desync;150;146.11;0.02
sca_hw;desync;155;140.05;0.0
sca_hw;desync;160;128.72;0.0
sca_hw;desync;165;132.83;0.0
sca_hw;desync;170;131.12;0.01
sca_hw;desync;175;138.29;0.01
sca_hw;desync;180;142.54;0.0
sca_hw;desync;185;134.15;0.0
sca_hw;desync;190;138.28;0.01
sca_hw;desync;195;121.36;0.01
sca_hw;desync;200;127.16;0.0
sca_hw;gauss;0;1.0;1.0
sca_hw;gauss;5;1.0;1.0
sca_hw;gauss;10;1.0;1.0
sca_hw;gauss;15;1.0;1.0
sca_hw;gauss;20;1.0;1.0
sca_hw;gauss;25;1.0;1.0
sca_hw;gauss;30;1.0;1.0
sca_hw;gauss;35;1.0;1.0
sca_hw;gauss;40;1.0;1.0
sca_hw;gauss;45;1.39;0.87
sca_hw;gauss;50;1.87;0.79
sca_hw;gauss;55;4.21;0.5
sca_hw;gauss;60;16.03;0.35
sca_hw;gauss;65;17.12;0.25
sca_hw;gauss;70;21.18;0.22
sca_hw;gauss;75;23.71;0.18
sca_hw;gauss;80;45.85;0.12
sca_hw;gauss;85;64.06;0.07
sca_hw;gauss;90;62.86;0.06
sca_hw;gauss;95;68.06;0.04
sca_hw;gauss;100;70.68;0.0
sca_hw;gauss;105;70.27;0.03
sca_hw;gauss;110;71.17;0.02
sca_hw;gauss;115;82.43;0.02
sca_hw;gauss;120;68.72;0.01
sca_hw;gauss;125;87.43;0.0
sca_hw;gauss;130;96.04;0.02
sca_hw;gauss;135;96.07;0.01
sca_hw;gauss;140;94.67;0.02
sca_hw;gauss;145;99.11;0.02
sca_hw;gauss;150;89.18;0.02
sca_hw;gauss;155;97.25;0.06
sca_hw;gauss;160;117.39;0.0
sca_hw;gauss;165;109.8;0.0
sca_hw;gauss;170;112.43;0.01
sca_hw;gauss;175;128.79;0.01
sca_hw;gauss;180;113.22;0.0
sca_hw;gauss;185;114.8;0.01
sca_hw;gauss;190;124.67;0.0
sca_hw;gauss;195;120.4;0.0
sca_hw;gauss;200;119.44;0.0
sca_hw;desync;0;1.0;1.0
sca_hw;desync;5;1.0;1.0
sca_hw;desync;10;1.0;1.0
sca_hw;desync;15;1.0;1.0
sca_hw;desync;20;1.0;1.0
sca_hw;desync;25;1.0;1.0
sca_hw;desync;30;1.0;1.0
sca_hw;desync;35;1.0;1.0
sca_hw;desync;40;1.0;1.0
sca_hw;desync;45;1.0;1.0
sca_hw;desync;50;1.0;1.0
sca_hw;desync;55;1.0;1.0
sca_hw;desync;60;1.0;1.0
sca_hw;desync;65;1.0;1.0
sca_hw;desync;70;1.0;1.0
sca_hw;desync;75;1.0;1.0
sca_hw;desync;80;1.0;1.0
sca_hw;desync;85;1.0;1.0
sca_hw;desync;90;1.0;1.0
sca_hw;desync;95;56.17;0.06
sca_hw;desync;100;1.04;0.96
sca_hw;desync;105;51.96;0.06
sca_hw;desync;110;2.09;0.74
sca_hw;desync;115;115.09;0.02
sca_hw;desync;120;118.3;0.01
sca_hw;desync;125;131.71;0.0
sca_hw;desync;130;128.39;0.01
sca_hw;desync;135;117.98;0.0
sca_hw;desync;140;137.97;0.01
sca_hw;desync;145;133.3;0.0
sca_hw;desync;150;136.84;0.0
sca_hw;desync;155;127.09;0.0
sca_hw;desync;160;127.5;0.0
sca_hw;desync;165;125.75;0.0
sca_hw;desync;170;134.22;0.0
sca_hw;desync;175;121.44;0.03
sca_hw;desync;180;125.7;0.01
sca_hw;desync;185;122.32;0.01
sca_hw;desync;190;135.92;0.0
sca_hw;desync;195;131.11;0.0
sca_hw;desync;200;127.06;0.0
sca_hw;gauss;0;1.0;1.0
sca_hw;gauss;5;1.0;1.0
sca_hw;gauss;10;1.0;1.0
sca_hw;gauss;15;1.0;1.0
sca_hw;gauss;20;1.0;1.0
sca_hw;gauss;25;1.0;1.0
sca_hw;gauss;30;1.0;1.0
sca_hw;gauss;35;1.0;1.0
sca_hw;gauss;40;1.03;0.98
sca_hw;gauss;45;1.22;0.9
sca_hw;gauss;50;1.6;0.81
sca_hw;gauss;55;6.62;0.42
sca_hw;gauss;60;11.66;0.38
sca_hw;gauss;65;16.47;0.25
sca_hw;gauss;70;24.94;0.19
sca_hw;gauss;75;27.78;0.13
sca_hw;gauss;80;35.87;0.11
sca_hw;gauss;85;53.09;0.09
sca_hw;gauss;90;41.73;0.08
sca_hw;gauss;95;58.67;0.04
sca_hw;gauss;100;66.84;0.05
sca_hw;gauss;105;68.92;0.03
sca_hw;gauss;110;74.87;0.02
sca_hw;gauss;115;69.82;0.03
sca_hw;gauss;120;94.76;0.01
sca_hw;gauss;125;79.78;0.01
sca_hw;gauss;130;113.79;0.0
sca_hw;gauss;135;74.27;0.02
sca_hw;gauss;140;104.41;0.04
sca_hw;gauss;145;100.95;0.01
sca_hw;gauss;150;105.85;0.01
sca_hw;gauss;155;117.02;0.0
sca_hw;gauss;160;120.83;0.0
sca_hw;gauss;165;117.69;0.0
sca_hw;gauss;170;120.23;0.01
sca_hw;gauss;175;120.63;0.0
sca_hw;gauss;180;119.74;0.0
sca_hw;gauss;185;110.02;0.0
sca_hw;gauss;190;119.56;0.01
sca_hw;gauss;195;113.36;0.0
sca_hw;gauss;200;120.06;0.01
sca_hw;desync;0;1.0;1.0
sca_hw;desync;5;1.0;1.0
sca_hw;desync;10;1.0;1.0
sca_hw;desync;15;1.0;1.0
sca_hw;desync;20;1.0;1.0
sca_hw;desync;25;1.0;1.0
sca_hw;desync;30;1.0;1.0
sca_hw;desync;35;1.0;1.0
sca_hw;desync;40;1.0;1.0
sca_hw;desync;45;1.0;1.0
sca_hw;desync;50;1.0;1.0
sca_hw;desync;55;1.0;1.0
sca_hw;desync;60;1.0;1.0
sca_hw;desync;65;1.0;1.0
sca_hw;desync;70;1.0;1.0
sca_hw;desync;75;1.0;1.0
sca_hw;desync;80;1.0;1.0
sca_hw;desync;85;1.0;1.0
sca_hw;desync;90;1.0;1.0
sca_hw;desync;95;1.0;1.0
sca_hw;desync;100;120.8;0.0
sca_hw;desync;105;3.11;0.68
sca_hw;desync;110;1.0;1.0
sca_hw;desync;115;89.7;0.01
sca_hw;desync;120;115.58;0.0
sca_hw;desync;125;78.64;0.02
sca_hw;desync;130;128.5;0.0
sca_hw;desync;135;35.17;0.11
sca_hw;desync;140;143.29;0.01
sca_hw;desync;145;124.85;0.01
sca_hw;desync;150;132.4;0.0
sca_hw;desync;155;129.8;0.0
sca_hw;desync;160;129.05;0.0
sca_hw;desync;165;100.27;0.01
sca_hw;desync;170;142.18;0.01
sca_hw;desync;175;128.79;0.0
sca_hw;desync;180;116.56;0.0
sca_hw;desync;185;140.62;0.0
sca_hw;desync;190;138.23;0.0
sca_hw;desync;195;132.23;0.0
sca_hw;desync;200;121.66;0.0
sca_hw;gauss;0;1.0;1.0
sca_hw;gauss;5;1.0;1.0
sca_hw;gauss;10;1.0;1.0
sca_hw;gauss;15;1.0;1.0
sca_hw;gauss;20;1.0;1.0
sca_hw;gauss;25;1.0;1.0
sca_hw;gauss;30;1.0;1.0
sca_hw;gauss;35;1.0;1.0
sca_hw;gauss;40;1.14;0.95
sca_hw;gauss;45;1.18;0.88
sca_hw;gauss;50;1.66;0.81
sca_hw;gauss;55;9.4;0.36
sca_hw;gauss;60;11.97;0.34
sca_hw;gauss;65;13.16;0.29
sca_hw;gauss;70;19.21;0.22
sca_hw;gauss;75;37.3;0.09
sca_hw;gauss;80;47.44;0.07
sca_hw;gauss;85;41.02;0.13
sca_hw;gauss;90;56.27;0.07
sca_hw;gauss;95;74.72;0.01
sca_hw;gauss;100;68.91;0.03
sca_hw;gauss;105;73.65;0.03
sca_hw;gauss;110;62.15;0.06
sca_hw;gauss;115;77.19;0.04
sca_hw;gauss;120;91.79;0.01
sca_hw;gauss;125;98.41;0.02
sca_hw;gauss;130;100.53;0.0
sca_hw;gauss;135;84.99;0.03
sca_hw;gauss;140;97.57;0.01
sca_hw;gauss;145;113.64;0.0
sca_hw;gauss;150;95.83;0.0
sca_hw;gauss;155;101.2;0.04
sca_hw;gauss;160;108.42;0.0
sca_hw;gauss;165;98.58;0.02
sca_hw;gauss;170;88.35;0.01
sca_hw;gauss;175;114.21;0.02
sca_hw;gauss;180;118.85;0.01
sca_hw;gauss;185;103.65;0.02
sca_hw;gauss;190;110.34;0.0
sca_hw;gauss;195;108.61;0.0
sca_hw;gauss;200;121.05;0.0
sca_hw;desync;0;1.0;1.0
sca_hw;desync;5;1.0;1.0
sca_hw;desync;10;1.0;1.0
sca_hw;desync;15;1.0;1.0
sca_hw;desync;20;1.0;1.0
sca_hw;desync;25;1.0;1.0
sca_hw;desync;30;1.0;1.0
sca_hw;desync;35;1.0;1.0
sca_hw;desync;40;1.0;1.0
sca_hw;desync;45;1.0;1.0
sca_hw;desync;50;1.0;1.0
sca_hw;desync;55;1.0;1.0
sca_hw;desync;60;1.0;1.0
sca_hw;desync;65;1.0;1.0
sca_hw;desync;70;1.0;1.0
sca_hw;desync;75;1.0;1.0
sca_hw;desync;80;1.0;1.0
sca_hw;desync;85;1.0;1.0
sca_hw;desync;90;1.0;1.0
sca_hw;desync;95;1.0;1.0
sca_hw;desync;100;97.57;0.0
sca_hw;desync;105;66.2;0.03
sca_hw;desync;110;1.0;1.0
sca_hw;desync;115;23.97;0.17
sca_hw;desync;120;117.91;0.0
sca_hw;desync;125;136.3;0.0
sca_hw;desync;130;106.46;0.0
sca_hw;desync;135;111.38;0.01
sca_hw;desync;140;118.22;0.0
sca_hw;desync;145;129.2;0.01
sca_hw;desync;150;130.51;0.01
sca_hw;desync;155;121.88;0.01
sca_hw;desync;160;117.07;0.01
sca_hw;desync;165;131.76;0.0
sca_hw;desync;170;121.83;0.0
sca_hw;desync;175;134.83;0.0
sca_hw;desync;180;122.73;0.0
sca_hw;desync;185;136.17;0.0
sca_hw;desync;190;128.41;0.0
sca_hw;desync;195;141.53;0.0
sca_hw;desync;200;145.03;0.01
sca_hw;gauss;0;1.0;1.0
sca_hw;gauss;5;1.0;1.0
sca_hw;gauss;10;1.0;1.0
sca_hw;gauss;15;1.0;1.0
sca_hw;gauss;20;1.0;1.0
sca_hw;gauss;25;1.0;1.0
